Date,Open,High,Low,Close,Adj Close,Volume
2016-04-19,232.960007,233.899994,227.92999300000002,230.25999500000003,220.742081,1094400.0
2016-04-20,230.63000499999998,232.52999900000003,228.22000099999997,228.559998,219.11235,781400.0
2016-04-21,228.42999300000002,230.809998,227.80000299999998,227.88999900000002,218.470062,515000.0
2016-04-22,227.25,229.94999700000002,227.25,229.13000499999998,219.658783,849200.0
2016-04-25,228.67999300000002,230.38000499999998,228.07000699999998,229.190002,219.71632400000001,564100.0
2016-04-26,229.74000499999997,234.63999900000002,229.74000499999997,234.32000699999998,224.63424700000002,500200.0
2016-04-27,235.0,239.229996,233.44999700000002,238.729996,228.861969,585000.0
2016-04-28,237.5,239.94999700000002,235.059998,235.960007,226.206482,941700.0
2016-04-29,234.83999599999999,235.50999500000003,232.479996,234.520004,224.826004,852500.0
2016-05-02,234.770004,235.710007,231.86000099999998,234.44999700000002,224.758881,640600.0
2016-05-03,233.17999300000002,233.809998,230.66000400000001,232.82000699999998,223.196289,366600.0
2016-05-04,231.82000699999998,232.11999500000002,228.190002,229.08999599999999,219.62043799999998,503700.0
2016-05-05,230.059998,235.49000499999997,229.80000299999998,232.25999500000003,223.85150099999998,644300.0
2016-05-06,230.669998,233.289993,230.669998,232.479996,224.06352200000003,539200.0
2016-05-09,232.419998,232.419998,228.72000099999997,230.580002,222.232361,530700.0
2016-05-10,230.99000499999997,233.559998,230.229996,232.149994,223.745483,589300.0
2016-05-11,232.100006,233.809998,229.770004,231.080002,222.714233,487200.0
2016-05-12,231.210007,231.86000099999998,225.789993,227.75999500000003,219.51442000000003,752700.0
2016-05-13,227.57000699999998,228.559998,225.0,226.399994,218.203659,484000.0
2016-05-16,226.72000099999997,229.419998,226.13999900000002,228.850006,220.564957,354400.0
2016-05-17,228.63999900000002,229.99000499999997,225.41000400000001,225.86999500000002,217.692856,328100.0
2016-05-18,225.19999700000002,228.36999500000002,222.88000499999998,225.020004,216.873627,395100.0
2016-05-19,221.770004,223.88000499999998,219.38000499999998,221.75,213.722015,495100.0
2016-05-20,223.08999599999999,223.979996,221.770004,222.58999599999999,214.53158599999998,442800.0
2016-05-23,222.41000400000001,223.88000499999998,220.52999900000003,223.07000699999998,214.99423199999998,301000.0
2016-05-24,224.24000499999997,227.149994,224.059998,226.25999500000003,218.06872599999997,335800.0
2016-05-25,226.25999500000003,226.960007,225.61000099999998,226.33999599999999,218.14582799999997,301400.0
2016-05-26,225.58999599999999,228.600006,225.58999599999999,227.520004,219.283142,363900.0
2016-05-27,227.94999700000002,228.25999500000003,225.169998,225.88000499999998,217.70249900000002,399000.0
2016-05-31,225.61000099999998,228.649994,225.61000099999998,228.350006,220.08308399999999,733200.0
2016-06-01,227.86999500000002,228.22000099999997,225.41000400000001,228.169998,219.909576,424900.0
2016-06-02,227.86999500000002,229.729996,227.77999900000003,229.729996,221.413116,301400.0
2016-06-03,229.0,229.77999900000003,226.17999300000002,227.789993,219.543335,458600.0
2016-06-06,226.61000099999998,228.99000499999997,225.05000299999998,228.600006,220.32403599999998,468500.0
2016-06-07,229.0,229.960007,228.270004,228.789993,220.50712599999997,323600.0
2016-06-08,229.72000099999997,231.24000499999997,228.38000499999998,230.61000099999998,222.261246,521500.0
2016-06-09,228.850006,230.77999900000003,226.770004,227.169998,218.94577,388800.0
2016-06-10,225.0,225.960007,219.809998,222.47000099999997,214.41592400000002,1162200.0
2016-06-13,220.25,221.559998,216.38999900000002,217.44999700000002,209.577667,739400.0
2016-06-14,217.72000099999997,220.710007,217.460007,219.960007,211.99681099999998,550400.0
2016-06-15,220.13999900000002,222.0,219.22000099999997,219.80000299999998,211.84260600000002,564500.0
2016-06-16,218.91000400000001,222.17999300000002,216.850006,221.399994,213.384689,367500.0
2016-06-17,220.61000099999998,222.419998,219.649994,221.52999900000003,213.50996400000002,661400.0
2016-06-20,222.99000499999997,225.88000499999998,222.74000499999997,222.830002,214.76292400000003,436200.0
2016-06-21,223.149994,224.30000299999998,222.24000499999997,222.88999900000002,214.82074,403300.0
2016-06-22,223.25999500000003,225.97000099999997,222.82000699999998,224.00999500000003,215.900192,396500.0
2016-06-23,226.330002,227.38000499999998,225.25,225.97000099999997,217.78922999999998,386800.0
