Date,Open,High,Low,Close,Adj Close,Volume
2011-08-03,94.160004,94.839996,92.540001,94.370003,90.91145300000001,1600900
2011-08-04,93.32,94.110001,91.220001,91.25,87.9058,1474100
2011-08-05,91.629997,92.0,89.120003,90.41999799999999,87.106216,1866900
2011-08-08,88.639999,89.389999,85.93,86.010002,82.85781899999999,1677800
2011-08-09,86.139999,90.559998,85.050003,90.480003,87.164017,2133200
2011-08-10,88.970001,89.360001,86.760002,87.110001,83.917503,1471900
2011-08-11,87.699997,91.739998,87.139999,90.940002,87.60714,1127000
2011-08-12,91.529999,92.089996,90.559998,91.720001,88.358597,669300
2011-08-15,92.339996,92.809998,91.300003,92.370003,88.984749,598100
2011-08-16,91.629997,91.809998,90.160004,90.800003,87.472298,935400
2011-08-17,91.33000200000001,92.120003,89.559998,90.629997,87.308525,878400
2011-08-18,88.949997,89.389999,86.870003,87.629997,84.418465,1079700
2011-08-19,87.050003,89.260002,86.68,87.470001,84.26432,1037500
2011-08-22,88.900002,89.129997,86.650002,86.989998,83.801926,774100
2011-08-23,87.010002,89.889999,86.389999,89.839996,86.547478,781000
2011-08-24,89.470001,90.389999,88.199997,90.230003,86.92315699999999,1565600
2011-08-25,90.489998,90.93,88.879997,89.459999,86.18139599999999,746600
2011-08-26,89.33000200000001,91.519997,87.699997,91.459999,88.108109,475200
2011-08-29,92.110001,93.589996,92.059998,93.389999,89.967384,510000
2011-08-30,92.769997,94.760002,92.059998,94.160004,90.70914499999999,681900
2011-08-31,94.769997,95.790001,94.349998,95.260002,91.768829,616000
2011-09-01,95.279999,96.709999,94.5,94.790001,91.31604,711500
2011-09-02,93.540001,93.589996,91.540001,91.849998,88.48380999999999,803600
2011-09-06,91.019997,92.139999,89.290001,91.760002,88.397102,785400
2011-09-07,93.150002,94.360001,92.68,94.209999,90.75733199999999,630500
2011-09-08,93.730003,95.279999,93.07,93.57,90.140778,870800
2011-09-09,92.32,92.43,89.5,89.620003,86.335533,1189400
2011-09-12,89.129997,89.480003,87.529999,89.389999,86.113945,954800
2011-09-13,89.480003,90.559998,88.839996,89.889999,86.59562700000001,745900
2011-09-14,89.989998,91.349998,88.620003,90.279999,86.97134399999999,1101800
2011-09-15,91.150002,91.660004,89.58000200000001,91.269997,87.925049,829600
2011-09-16,91.220001,92.32,91.07,91.639999,88.281509,1196900
2011-09-19,90.110001,90.82,88.980003,90.279999,86.97134399999999,668700
2011-09-20,90.910004,93.260002,90.629997,91.66999799999999,88.31039399999999,883400
2011-09-21,91.610001,91.75,88.599998,88.599998,85.352905,950000
2011-09-22,86.41999799999999,87.139999,85.550003,86.610001,83.43584399999999,1205100
2011-09-23,85.959999,86.970001,84.800003,85.809998,82.665184,1174300
2011-09-26,86.459999,87.550003,85.91999799999999,87.489998,84.283569,1146600
2011-09-27,88.540001,90.860001,87.879997,89.300003,86.027275,772000
2011-09-28,89.33000200000001,89.82,87.760002,88.32,85.08318299999999,965000
2011-09-29,89.510002,90.150002,87.57,88.889999,85.632301,561100
2011-09-30,88.08000200000001,89.660004,87.449997,87.540001,84.331764,609700
2011-10-03,87.059998,87.730003,84.440002,84.660004,81.557327,916400
2011-10-04,83.790001,85.959999,83.16999799999999,85.690002,82.54956800000001,1300000
2011-10-05,85.529999,85.959999,84.540001,85.610001,82.47249599999999,1196300
2011-10-06,85.809998,85.809998,84.150002,85.08000200000001,81.961899,1293400
2011-10-07,85.410004,85.410004,83.790001,83.93,80.854057,998800
2011-10-10,85.129997,86.629997,85.129997,86.43,83.262436,993700
2011-10-11,86.160004,86.32,85.099998,85.730003,82.588104,870300
2011-10-12,86.040001,87.83000200000001,85.709999,86.709999,83.532188,1077500
2011-10-13,86.190002,87.589996,85.489998,86.970001,83.78265400000001,727800
2011-10-14,87.83000200000001,87.870003,86.260002,86.57,83.397316,669300
2011-10-17,86.160004,86.25,84.08000200000001,84.290001,81.200867,1090500
2011-10-18,84.370003,86.41999799999999,83.449997,85.720001,82.578484,987700
2011-10-19,85.910004,87.57,85.760002,86.779999,83.59961700000001,846500
2011-10-20,86.239998,86.610001,84.57,85.489998,82.537605,858800
2011-10-21,86.33000200000001,87.68,86.220001,87.269997,84.256134,569200
2011-10-24,86.879997,89.32,86.68,88.699997,85.63675699999999,705000
2011-10-25,89.029999,89.610001,87.470001,87.699997,84.67128000000001,676600
2011-10-26,81.040001,85.459999,80.800003,83.400002,80.519775,2556600
2011-10-27,86.480003,87.190002,84.339996,86.41999799999999,83.435486,1580400
2011-10-28,86.260002,88.059998,86.010002,87.809998,84.77748100000001,1097400
2011-10-31,86.480003,86.91999799999999,85.790001,85.949997,82.98172,1164400
2011-11-01,83.809998,85.41999799999999,83.529999,83.940002,81.041138,1278200
2011-11-02,84.449997,85.639999,84.370003,85.57,82.61484499999999,915900
